episode:1850, reward:5.431468381884401, actor loss:0.06984502822160721, critic loss:0.035022325813770294
episode:1860, reward:1.195048013528188, actor loss:0.03960934281349182, critic loss:0.06089962273836136
episode:1870, reward:1.0744330259164176, actor loss:0.025786060839891434, critic loss:0.045470431447029114
episode:1880, reward:-0.019518842697143556, actor loss:-0.0227489173412323, critic loss:0.051833461970090866
episode:1890, reward:1.0747665949662526, actor loss:0.026401827111840248, critic loss:0.045644361525774
episode:1900, reward:1.0848936804135643, actor loss:0.02472398243844509, critic loss:0.04668722674250603
episode:1910, reward:1.0854031201203664, actor loss:0.023454274982213974, critic loss:0.047492749989032745
episode:1920, reward:1.0818201323350272, actor loss:0.022487036883831024, critic loss:0.04787551984190941
episode:1930, reward:1.0799041815598807, actor loss:0.021586164832115173, critic loss:0.048173580318689346
episode:1940, reward:-0.017819197177886964, actor loss:-0.03205946460366249, critic loss:0.10268540680408478
episode:1950, reward:-0.016561973094940185, actor loss:-0.03197279945015907, critic loss:0.10200240463018417
episode:1960, reward:5.749775868656939, actor loss:0.0680307149887085, critic loss:0.03434791415929794
episode:1970, reward:-0.00488050639629364, actor loss:-0.04489368200302124, critic loss:0.08732824772596359
episode:1980, reward:-0.004591251611709595, actor loss:-0.054455745965242386, critic loss:0.04606220871210098
episode:1990, reward:-0.005603253245353699, actor loss:-0.09036997705698013, critic loss:0.02622682973742485
episode:2000, reward:-0.005324046015739441, actor loss:-0.06513692438602448, critic loss:0.013620004057884216
episode:2010, reward:-0.0057031607627868654, actor loss:-0.04690193012356758, critic loss:0.007056303322315216
episode:2020, reward:-0.007664768099784851, actor loss:-0.03830023482441902, critic loss:0.004703817423433065
episode:2030, reward:0.5351565990845363, actor loss:0.11718147993087769, critic loss:0.060879409313201904
episode:2040, reward:0.9425455836455027, actor loss:0.1286114752292633, critic loss:0.05026046559214592
episode:2050, reward:6.232323933842485, actor loss:0.11052341759204865, critic loss:0.06098991632461548
episode:2060, reward:0.7368126598993938, actor loss:0.02851615473628044, critic loss:0.04907762259244919
episode:2070, reward:0.731747879187266, actor loss:0.0264483280479908, critic loss:0.04936550557613373
episode:2080, reward:0.9267289761702221, actor loss:0.02675006166100502, critic loss:0.05020851641893387
episode:2090, reward:-0.017949959039688112, actor loss:-0.017598150297999382, critic loss:0.03098163567483425
episode:2100, reward:0.9181074527899423, actor loss:0.023264607414603233, critic loss:0.05084584280848503
episode:2110, reward:-0.018130757808685304, actor loss:-0.019309600815176964, critic loss:0.036427516490221024
episode:2120, reward:6.046832262280289, actor loss:0.07877366244792938, critic loss:0.05674942210316658
episode:2130, reward:0.9078004233042399, actor loss:0.021600618958473206, critic loss:0.05112184211611748
episode:2140, reward:6.015029277804203, actor loss:0.0772072896361351, critic loss:0.05647391825914383
episode:2150, reward:-0.01995888948440552, actor loss:-0.02307211607694626, critic loss:0.05252103880047798
episode:2160, reward:-0.019993631839752196, actor loss:-0.02358461357653141, critic loss:0.055263109505176544
episode:2170, reward:-0.019998908042907715, actor loss:-0.024123160168528557, critic loss:0.05780356377363205
episode:2180, reward:5.999300471546952, actor loss:0.07607622444629669, critic loss:0.05577949807047844
episode:2190, reward:0.9069682673613231, actor loss:0.016082562506198883, critic loss:0.05367223545908928
episode:2200, reward:-0.019999732971191408, actor loss:-0.02731829322874546, critic loss:0.07410259544849396
episode:2210, reward:0.7267568699518839, actor loss:0.013843894004821777, critic loss:0.05515161156654358
episode:2220, reward:0.7266912333170573, actor loss:0.015803173184394836, critic loss:0.05383320897817612
episode:2230, reward:0.7266933564345042, actor loss:0.016033483669161797, critic loss:0.05401686951518059
episode:2240, reward:0.7267024354139964, actor loss:0.016193073242902756, critic loss:0.05366966873407364
episode:2250, reward:0.906677328745524, actor loss:0.018283521756529808, critic loss:0.05257882922887802
episode:2260, reward:0.7268659297625223, actor loss:0.011172907426953316, critic loss:0.053458910435438156
episode:2270, reward:0.906713619629542, actor loss:0.018726954236626625, critic loss:0.05234771966934204
episode:2280, reward:0.906800940434138, actor loss:0.017156798392534256, critic loss:0.053184252232313156
episode:2290, reward:0.7268418125311535, actor loss:0.017244229093194008, critic loss:0.055186688899993896
episode:2300, reward:-0.019999579191207886, actor loss:-0.15534190833568573, critic loss:0.07934228330850601
episode:2310, reward:0.7268363408247629, actor loss:0.0069650039076805115, critic loss:0.05481390282511711
episode:2320, reward:0.7323194793860117, actor loss:0.015378844924271107, critic loss:0.05449551343917847
episode:2330, reward:-0.01031505060195923, actor loss:-0.02328106388449669, critic loss:0.052480749785900116
episode:2340, reward:-0.008727861285209656, actor loss:-0.04820716381072998, critic loss:0.025017688050866127
episode:2350, reward:-0.010676563262939453, actor loss:-0.06254943460226059, critic loss:0.012517692521214485
episode:2360, reward:-0.010679188132286072, actor loss:-0.04329283535480499, critic loss:0.005997432861477137
episode:2370, reward:-0.020027413845062257, actor loss:-0.00626909825950861, critic loss:0.003813021583482623
episode:2380, reward:-0.020027178525924685, actor loss:-0.030964205041527748, critic loss:0.0018930367659777403
episode:2390, reward:-0.02002692425251007, actor loss:-0.012406609952449799, critic loss:0.0009329660097137094
episode:2400, reward:-0.016273014783859254, actor loss:-0.011083349585533142, critic loss:0.0003307782462798059
episode:2410, reward:-0.01627283716201782, actor loss:-0.008238887414336205, critic loss:0.00015579035971313715
episode:2420, reward:-0.016272796750068666, actor loss:-0.00499962642788887, critic loss:8.094780059764162e-05
episode:2430, reward:-0.02002652621269226, actor loss:-0.005993279628455639, critic loss:9.838976984610781e-05
episode:2440, reward:-0.010681835532188415, actor loss:0.001056553446687758, critic loss:3.8146949918882456e-06
episode:2450, reward:-0.00872224223613739, actor loss:0.0025900229811668396, critic loss:2.1832913262187503e-05
episode:2460, reward:-0.01068130910396576, actor loss:0.0011385200778022408, critic loss:4.29749798058765e-06
episode:2470, reward:-0.010681142807006837, actor loss:0.001957005588337779, critic loss:1.0617668522172607e-05
episode:2480, reward:-0.016273117184638978, actor loss:-0.001032829051837325, critic loss:3.5159587241651025e-06
episode:2490, reward:-0.02002706527709961, actor loss:-0.0017824238166213036, critic loss:3.5395398299442604e-05
episode:2500, reward:4.303745654312344, actor loss:0.07036928832530975, critic loss:0.028678899630904198
episode:2510, reward:-0.019991141557693482, actor loss:-0.004553276114165783, critic loss:0.001991091761738062
episode:2520, reward:0.7356127242247263, actor loss:0.03373963013291359, critic loss:0.04901878908276558
episode:2530, reward:-0.015714019536972046, actor loss:-0.008233869448304176, critic loss:0.006967779248952866
episode:2540, reward:4.2732373440543645, actor loss:0.06469203531742096, critic loss:0.036927975714206696
episode:2550, reward:-0.021245768904685977, actor loss:-0.00822287704795599, critic loss:0.006408312823623419
episode:2560, reward:4.046136439470431, actor loss:0.06347761303186417, critic loss:0.036651842296123505
episode:2570, reward:4.044650283960483, actor loss:0.06149523705244064, critic loss:0.035809293389320374
episode:2580, reward:0.10182685403029125, actor loss:-0.0017285660142078996, critic loss:0.0042761266231536865
episode:2590, reward:-0.0219927031993866, actor loss:-0.006114036776125431, critic loss:0.003571879118680954
episode:2600, reward:-0.021960139513015748, actor loss:-0.005785335320979357, critic loss:0.0034911814145743847
episode:2610, reward:0.10252775017420451, actor loss:-0.0012529618106782436, critic loss:0.004056102130562067
episode:2620, reward:0.11651753739515941, actor loss:0.0004383777850307524, critic loss:0.0039032581262290478
episode:2630, reward:4.059013444570683, actor loss:0.06315658986568451, critic loss:0.0363759845495224
episode:2640, reward:0.10194407490889232, actor loss:-0.00018730064039118588, critic loss:0.0036758719943463802
episode:2650, reward:4.047072794107578, actor loss:0.0635756105184555, critic loss:0.036235932260751724
episode:2660, reward:-0.021699912905693057, actor loss:-0.00642759632319212, critic loss:0.00396804790943861
episode:2670, reward:0.17147774291038514, actor loss:0.0017598193371668458, critic loss:0.0010732101509347558
episode:2680, reward:-0.02172497034072876, actor loss:-0.005176730453968048, critic loss:0.002509575104340911
episode:2690, reward:0.10087580494085949, actor loss:-0.0028471085242927074, critic loss:0.004749642219394445
episode:2700, reward:-0.021995583415031435, actor loss:-0.007180360145866871, critic loss:0.004848496988415718
episode:2710, reward:-0.021973865270614623, actor loss:-0.008819288574159145, critic loss:0.007538683712482452
episode:2720, reward:-0.021845813870429994, actor loss:-0.00676283473148942, critic loss:0.004337525926530361
episode:2730, reward:-0.02196739780902863, actor loss:-0.006228115409612656, critic loss:0.003977280110120773
episode:2740, reward:-0.021973992347717287, actor loss:-0.003737314138561487, critic loss:0.001331539824604988
episode:2750, reward:-0.02188291323184967, actor loss:-0.004837887827306986, critic loss:0.002482272684574127
episode:2760, reward:0.09046561133861541, actor loss:0.0008388282731175423, critic loss:0.004917615093290806
episode:2770, reward:-0.006389582216739655, actor loss:-0.0038039335049688816, critic loss:0.0013797443825751543
episode:2780, reward:-0.0069769624471664425, actor loss:-0.0017777998000383377, critic loss:0.00029453393653966486
episode:2790, reward:-0.004322554141283035, actor loss:-0.0011763510992750525, critic loss:0.00012976098514627665
